epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4915,2.0185,4.92068,1.59955,0,0,0,0,0,166.301,0,2.499e-05,2.499e-05,2.499e-05
2,82.5777,1.70109,4.57409,1.44531,0,0,0,0,0,166.112,0,5.25373e-05,5.25373e-05,5.25373e-05
3,120.532,1.55048,4.42622,1.3406,0,0,0,0,0,165.935,0,7.34873e-05,7.34873e-05,7.34873e-05
4,158.5,1.32165,4.23413,1.17722,0,0,0,0,0,165.753,0,8.78398e-05,8.78398e-05,8.78398e-05
5,196.629,1.1992,4.18476,1.09403,0,0,0,0,0,165.616,0,9.55951e-05,9.55951e-05,9.55951e-05
6,236.447,1.15646,3.8583,1.09837,0,0,0,0,0,165.427,0,9.67529e-05,9.67529e-05,9.67529e-05
7,275.048,1.09847,3.79808,1.0782,0,0,0,0,0,165.259,0,9.13135e-05,9.13135e-05,9.13135e-05
8,314.973,0.97424,3.66836,0.99904,0,0,0,0,0,165.109,0,7.92766e-05,7.92766e-05,7.92766e-05
9,353.281,1.00647,3.65952,1.0306,0,0,0,0,0,164.981,0,6.06424e-05,6.06424e-05,6.06424e-05
10,391.595,1.31524,3.70194,1.13249,0,0,0,0,0,164.836,0,3.54108e-05,3.54108e-05,3.54108e-05
